trait_type	phenocode	pheno_sex	coding	modifier	description	description_more	coding_description	category	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	pops	num_pops	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	saige_heritability_AFR	saige_heritability_AMR	saige_heritability_CSA	saige_heritability_EAS	saige_heritability_EUR	saige_heritability_MID	lambda_gc_AFR	lambda_gc_AMR	lambda_gc_CSA	lambda_gc_EAS	lambda_gc_EUR	lambda_gc_MID	filename	filename_tabix	aws_link	aws_link_tabix	wget	wget_tabix	size_in_bytes	size_in_bytes_tabix	md5_hex	md5_hex_tabix
biomarkers	30600	both_sexes		irnt	Albumin	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	422605	208336	179998	AFR,AMR,CSA,EAS,EUR,MID	6	5759	856	7694	2340	367192	1364	NA	NA	NA	NA	NA	NA	2.5412e-01	1.1268e-01	2.4111e-01	6.1264e-02	6.4491e-02	2.0459e-01	1.0288e+00	9.9480e-01	1.0115e+00	9.8514e-01	1.3905e+00	1.0028e+00	biomarkers-30600-both_sexes-irnt.tsv.bgz	biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi	2022481897	2170693	5a411e0c80afb3467e640385097272b6	82b30fa9fbffa961bbd7f8c9d4caea9a
biomarkers	30610	both_sexes		irnt	Alkaline phosphatase	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	461525	229156	194910	AFR,AMR,CSA,EAS,EUR,MID	6	6216	938	8422	2572	400988	1497	NA	NA	NA	NA	NA	NA	2.8471e-01	2.0200e-01	3.9193e-01	0.0000e+00	1.3053e-01	7.3608e-01	1.0258e+00	9.9795e-01	1.0664e+00	9.6666e-01	1.7025e+00	1.0332e+00	biomarkers-30610-both_sexes-irnt.tsv.bgz	biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi	2024340023	2170900	e371769e8133a0b2f61a1c2a84a6bc13	2b3b530c457633b0df90fd126f3ee181
biomarkers	30620	both_sexes		irnt	Alanine aminotransferase	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	461326	229118	194764	AFR,AMR,CSA,EAS,EUR,MID	6	6214	937	8407	2570	400822	1499	NA	NA	NA	NA	NA	NA	3.9353e-01	0.0000e+00	2.1917e-01	1.5830e-01	6.2796e-02	2.0520e-01	1.0244e+00	6.8012e-01	1.0258e+00	1.0085e+00	1.4310e+00	9.8781e-01	biomarkers-30620-both_sexes-irnt.tsv.bgz	biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi	2024082964	2171094	2b2cfe22aaeacb6599a472f07d75a741	bde0c8575e2faaf00858d933a612e253
biomarkers	30630	both_sexes		irnt	Apolipoprotein A	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	420088	206413	179623	AFR,AMR,CSA,EAS,EUR,MID	6	5732	846	7679	2325	364987	1360	NA	NA	NA	NA	NA	NA	3.0678e-01	3.3358e-01	3.5787e-01	2.9058e-01	1.2164e-01	4.8340e-01	1.0134e+00	9.8938e-01	1.0470e+00	1.0105e+00	1.6338e+00	9.9278e-01	biomarkers-30630-both_sexes-irnt.tsv.bgz	biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi	2021592884	2170566	9a47b6b4ee8a0145bebe27f6a5c532e5	b4024e688c160f39746f05105f0fcfa4
biomarkers	30640	both_sexes		irnt	Apolipoprotein B	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	459181	228338	193583	AFR,AMR,CSA,EAS,EUR,MID	6	6169	932	8352	2553	399003	1496	NA	NA	NA	NA	NA	NA	2.5469e-01	3.6481e-01	2.2124e-01	1.8561e-01	7.8514e-02	0.0000e+00	1.0197e+00	1.0121e+00	1.0259e+00	1.0259e+00	1.3989e+00	9.3302e-01	biomarkers-30640-both_sexes-irnt.tsv.bgz	biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi	2023988080	2171238	d0b0fc4e29886d2c317b20999581bf81	99d3dbe0542c17335eb3dce3abf388a1
biomarkers	30650	both_sexes		irnt	Aspartate aminotransferase	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	459799	228328	194127	AFR,AMR,CSA,EAS,EUR,MID	6	6180	933	8395	2551	399482	1493	NA	NA	NA	NA	NA	NA	3.1480e-01	2.2140e-01	1.9040e-01	0.0000e+00	7.2023e-02	3.2104e-01	1.0069e+00	9.7997e-01	1.0039e+00	9.9691e-01	1.4525e+00	9.7557e-01	biomarkers-30650-both_sexes-irnt.tsv.bgz	biomarkers-30650-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30650-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30650-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30650-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30650-both_sexes-irnt.tsv.bgz.tbi	2023969116	2170693	d70428c2d0c6c0e98e36b30b48f4b693	77191182b4ab1a0cd1f4140c2163246d
biomarkers	30660	both_sexes		irnt	Direct bilirubin	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	391906	178636	181467	AFR,AMR,CSA,EAS,EUR,MID	6	5165	744	6961	2159	340934	1235	NA	NA	NA	NA	NA	NA	3.4061e-01	0.0000e+00	2.8612e-01	1.6269e-01	1.0424e-01	0.0000e+00	1.0254e+00	6.6580e-01	9.9166e-01	1.0140e+00	1.4084e+00	1.0130e+00	biomarkers-30660-both_sexes-irnt.tsv.bgz	biomarkers-30660-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30660-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30660-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30660-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30660-both_sexes-irnt.tsv.bgz.tbi	2019290123	2170139	f96467cebbb26dc054bce17f5f9ae2ef	dc86bf4a9af464409c07ab094649eed4
biomarkers	30670	both_sexes		irnt	Urea	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	461200	228983	194773	AFR,AMR,CSA,EAS,EUR,MID	6	6213	938	8422	2569	400687	1497	NA	NA	NA	NA	NA	NA	1.5282e-01	0.0000e+00	1.6291e-01	1.3641e-01	5.7758e-02	0.0000e+00	1.0253e+00	8.3309e-01	1.0000e+00	1.0036e+00	1.4206e+00	7.6392e-01	biomarkers-30670-both_sexes-irnt.tsv.bgz	biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30670-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30670-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi	2024142260	2171030	64018cefdda3dcaae6058f37ca446f85	06fa1afee4cc475f870b6b1331189a88
biomarkers	30680	both_sexes		irnt	Calcium	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	422461	208265	179931	AFR,AMR,CSA,EAS,EUR,MID	6	5758	856	7697	2344	367050	1361	NA	NA	NA	NA	NA	NA	1.0477e-01	0.0000e+00	1.3774e-01	3.7477e-02	6.5663e-02	0.0000e+00	1.0365e+00	5.4179e-01	1.0243e+00	9.9768e-01	1.3113e+00	1.0017e+00	biomarkers-30680-both_sexes-irnt.tsv.bgz	biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi	2022465171	2170417	d26d152c8b09e97c8d8ef6b9e1567240	25b2f70f9b4730903e4cc8fb30c1ff99
biomarkers	30690	both_sexes		irnt	Cholesterol	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	461507	229127	194912	AFR,AMR,CSA,EAS,EUR,MID	6	6212	938	8422	2572	400963	1500	NA	NA	NA	NA	NA	NA	2.6085e-01	1.1719e-01	2.2981e-01	1.1579e-01	6.3760e-02	0.0000e+00	1.0406e+00	1.0331e+00	1.0297e+00	9.9999e-01	1.4138e+00	8.5933e-01	biomarkers-30690-both_sexes-irnt.tsv.bgz	biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi	2023817669	2171151	47d581e6bf95cb92be3d2602900161e9	60600a03be90de07c55b598789cc63da
biomarkers	30700	both_sexes		irnt	Creatinine	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	461280	229028	194804	AFR,AMR,CSA,EAS,EUR,MID	6	6212	937	8422	2571	400761	1498	NA	NA	NA	NA	NA	NA	2.6719e-01	0.0000e+00	3.6044e-01	1.3004e-01	9.2683e-02	7.1991e-02	1.0098e+00	6.1043e-01	1.0333e+00	1.0130e+00	1.6236e+00	1.0203e+00	biomarkers-30700-both_sexes-irnt.tsv.bgz	biomarkers-30700-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30700-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30700-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30700-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30700-both_sexes-irnt.tsv.bgz.tbi	2023145702	2170780	23700c587b153ee0bdac77fb05cc2a8f	90d013140df0b071840fc5ad38038904
biomarkers	30710	both_sexes		irnt	C-reactive protein	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	460502	228724	194391	AFR,AMR,CSA,EAS,EUR,MID	6	6203	937	8397	2564	400094	1498	NA	NA	NA	NA	NA	NA	3.6954e-01	4.5509e-01	2.6570e-01	1.8202e-01	1.0576e-01	0.0000e+00	1.0118e+00	9.9801e-01	1.0390e+00	1.0052e+00	1.5802e+00	1.0136e+00	biomarkers-30710-both_sexes-irnt.tsv.bgz	biomarkers-30710-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30710-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30710-both_sexes-irnt.tsv.bgz.tbi	2024046556	2170760	2f70efcc456ba6b49b24926ae6384375	e1d86016c6b2429a1e770ecc1a1ad297
biomarkers	30720	both_sexes		irnt	Cystatin C	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	461481	229120	194899	AFR,AMR,CSA,EAS,EUR,MID	6	6213	940	8422	2573	400940	1500	NA	NA	NA	NA	NA	NA	2.3985e-01	2.6455e-01	3.6851e-01	1.8847e-01	1.4233e-01	0.0000e+00	1.0369e+00	1.0143e+00	1.0548e+00	1.0033e+00	1.8587e+00	1.0453e+00	biomarkers-30720-both_sexes-irnt.tsv.bgz	biomarkers-30720-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30720-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30720-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30720-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30720-both_sexes-irnt.tsv.bgz.tbi	2023791339	2171041	aedec08431822cea761b85662e1253e8	347602bfcd56cd4e0a710da976c763a9
biomarkers	30730	both_sexes		irnt	Gamma glutamyltransferase	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	461270	229034	194788	AFR,AMR,CSA,EAS,EUR,MID	6	6212	938	8422	2569	400751	1498	NA	NA	NA	NA	NA	NA	4.5392e-01	0.0000e+00	3.1746e-01	4.7534e-01	1.1351e-01	8.5398e-01	1.0408e+00	9.6134e-01	1.0310e+00	1.0300e+00	1.6675e+00	1.0300e+00	biomarkers-30730-both_sexes-irnt.tsv.bgz	biomarkers-30730-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30730-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30730-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30730-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30730-both_sexes-irnt.tsv.bgz.tbi	2023615208	2170905	c2cbbedcd0947c8235991050a0cd629e	4d3875e5de703b341e7a25793fce5252
biomarkers	30740	both_sexes		irnt	Glucose	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	422106	208108	179778	AFR,AMR,CSA,EAS,EUR,MID	6	5750	854	7694	2342	366759	1361	NA	NA	NA	NA	NA	NA	4.8576e-02	7.9064e-01	2.0066e-01	7.8047e-02	4.5277e-02	0.0000e+00	9.8858e-01	1.0084e+00	1.0259e+00	1.0150e+00	1.2151e+00	8.6552e-01	biomarkers-30740-both_sexes-irnt.tsv.bgz	biomarkers-30740-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30740-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30740-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30740-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30740-both_sexes-irnt.tsv.bgz.tbi	2022187690	2171119	29bf8ad2cf6a056eba762b3029803b3e	423bf8e24c56177b03b8c4dcbfc710ec
biomarkers	30750	both_sexes		irnt	Glycated haemoglobin (HbA1c)	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	460080	228582	194273	AFR,AMR,CSA,EAS,EUR,MID	6	5290	922	8329	2566	400837	1502	NA	NA	NA	NA	NA	NA	1.8143e-01	0.0000e+00	4.1717e-01	2.3285e-01	0.0000e+00	6.0160e-01	1.0248e+00	9.3360e-01	1.0035e+00	1.0003e+00	1.2318e+00	1.0271e+00	biomarkers-30750-both_sexes-irnt.tsv.bgz	biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30750-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30750-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi	2022480361	2170777	0973e5d98812bd74369d6fc1721d41f5	1038c2a05b55a6335c59e59df79ebd48
biomarkers	30760	both_sexes		irnt	HDL cholesterol	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	422405	208262	179888	AFR,AMR,CSA,EAS,EUR,MID	6	5754	854	7688	2342	367021	1364	NA	NA	NA	NA	NA	NA	3.3753e-01	5.9622e-01	4.3414e-01	2.2494e-01	1.4343e-01	4.6630e-01	1.0169e+00	1.0097e+00	1.0177e+00	1.0151e+00	1.7823e+00	9.9918e-01	biomarkers-30760-both_sexes-irnt.tsv.bgz	biomarkers-30760-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30760-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30760-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30760-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30760-both_sexes-irnt.tsv.bgz.tbi	2021668728	2170828	d0fd79329b4b355cd29e5b01fc25cb68	88aa7794c017cb7a37341ae651e5fd57
biomarkers	30770	both_sexes		irnt	IGF-1	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	459000	227858	193874	AFR,AMR,CSA,EAS,EUR,MID	6	6178	934	8364	2560	398797	1493	NA	NA	NA	NA	NA	NA	2.3922e-01	5.8906e-01	3.6181e-01	3.4686e-01	1.0982e-01	3.8861e-01	1.0134e+00	1.0066e+00	1.0329e+00	1.0295e+00	1.6708e+00	9.9978e-01	biomarkers-30770-both_sexes-irnt.tsv.bgz	biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi	2024185343	2170894	ebcc2ad1de337e73e50498ee3ccd1b91	ac822ca599bac462caf5a02bc5f0f268
biomarkers	30780	both_sexes		irnt	LDL direct	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	460650	228761	194496	AFR,AMR,CSA,EAS,EUR,MID	6	6200	938	8404	2568	400223	1498	NA	NA	NA	NA	NA	NA	2.6094e-01	2.4541e-01	2.0821e-01	1.2050e-01	6.0603e-02	0.0000e+00	9.8763e-01	9.9935e-01	1.0185e+00	1.0163e+00	1.3201e+00	1.0295e+00	biomarkers-30780-both_sexes-irnt.tsv.bgz	biomarkers-30780-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30780-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30780-both_sexes-irnt.tsv.bgz.tbi	2023816844	2171288	b9bac35413668f562f77953b60766706	58901d8a9308650e2bd3f95f4b19dd57
biomarkers	30790	both_sexes		irnt	Lipoprotein A	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	369165	183555	154992	AFR,AMR,CSA,EAS,EUR,MID	6	5140	773	7400	2279	318922	1282	NA	NA	NA	NA	NA	NA	5.1845e-01	7.9670e-01	3.1525e-01	1.9884e-01	8.2262e-02	6.5584e-01	1.0135e+00	1.0050e+00	1.0166e+00	1.0301e+00	1.2389e+00	9.9969e-01	biomarkers-30790-both_sexes-irnt.tsv.bgz	biomarkers-30790-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30790-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30790-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30790-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30790-both_sexes-irnt.tsv.bgz.tbi	2017626520	2170054	091e8edfa678a60c01246256e0393790	eebb50e4eedcb5b073803dedc788e331
biomarkers	30800	both_sexes		irnt	Oestradiol	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	75290	51484	16687	AFR,AMR,CSA,EAS,EUR,MID	6	1612	224	1535	610	63332	310	NA	NA	NA	NA	NA	NA	0.0000e+00	0.0000e+00	6.1729e-02	3.0271e-01	0.0000e+00	4.3655e-01	9.9828e-01	6.1444e-01	1.0008e+00	1.0569e+00	1.0027e+00	1.0092e+00	biomarkers-30800-both_sexes-irnt.tsv.bgz	biomarkers-30800-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30800-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30800-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30800-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30800-both_sexes-irnt.tsv.bgz.tbi	1935502405	2158713	f0f4d3ae9c53dd3fa26282a66cb397c9	d2dd08f57da1456944cf54075490dabb
biomarkers	30810	both_sexes		irnt	Phosphate	NA	NA	Biological samples > Assay results > Blood assays > Blood biochemistry	421793	207949	179652	AFR,AMR,CSA,EAS,EUR,MID	6	5750	854	7685	2342	366484	1360	NA	NA	NA	NA	NA	NA	2.6905e-01	0.0000e+00	2.0553e-01	2.3469e-01	6.1334e-02	0.0000e+00	1.0447e+00	6.7588e-01	1.0167e+00	9.9058e-01	1.3538e+00	7.4499e-01	biomarkers-30810-both_sexes-irnt.tsv.bgz	biomarkers-30810-both_sexes-irnt.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30810-both_sexes-irnt.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30810-both_sexes-irnt.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30810-both_sexes-irnt.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/biomarkers-30810-both_sexes-irnt.tsv.bgz.tbi	2022299318	2170642	ebc722eb12e9832b6d75863ea6825e1b	84104d3ffa65cf7d4a3d7cc440f43719
