trait_type	phenocode	pheno_sex	coding	modifier	description	description_more	coding_description	category	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	pops	num_pops	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	saige_heritability_AFR	saige_heritability_AMR	saige_heritability_CSA	saige_heritability_EAS	saige_heritability_EUR	saige_heritability_MID	lambda_gc_AFR	lambda_gc_AMR	lambda_gc_CSA	lambda_gc_EAS	lambda_gc_EUR	lambda_gc_MID	filename	filename_tabix	aws_link	aws_link_tabix	wget	wget_tabix	size_in_bytes	size_in_bytes_tabix	md5_hex	md5_hex_tabix
categorical	20002	both_sexes	1234		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	adrenocortical insufficiency/addison's disease	UK Biobank Assessment Centre > Verbal interview > Medical conditions	178	114	0	EUR	1	NA	NA	NA	NA	163	NA	NA	NA	NA	NA	420310	NA	NA	NA	NA	NA	0.0000e+00	NA	NA	NA	NA	NA	9.8602e-01	NA	categorical-20002-both_sexes-1234.tsv.bgz	categorical-20002-both_sexes-1234.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1234.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1234.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1234.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1234.tsv.bgz.tbi	513591246	1750346	efac9ddfbae0107c9b65512785bab7b6	ad2b590186f542e0b964224e65c46fcf
categorical	20002	both_sexes	1238		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	pituitary adenoma/tumour	UK Biobank Assessment Centre > Verbal interview > Medical conditions	325	199	126	EUR	1	NA	NA	NA	NA	274	NA	NA	NA	NA	NA	420199	NA	NA	NA	NA	NA	0.0000e+00	NA	NA	NA	NA	NA	1.0261e+00	NA	categorical-20002-both_sexes-1238.tsv.bgz	categorical-20002-both_sexes-1238.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1238.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1238.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1238.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1238.tsv.bgz.tbi	522330191	1750975	3cd7b7e507355dfe8cb6f807d41e370f	7f928f73c760291ed3a9810b566d825b
categorical	20002	both_sexes	1240		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	neurological injury/trauma	UK Biobank Assessment Centre > Verbal interview > Medical conditions	118	0	0	EUR	1	NA	NA	NA	NA	108	NA	NA	NA	NA	NA	420365	NA	NA	NA	NA	NA	0.0000e+00	NA	NA	NA	NA	NA	9.9958e-01	NA	categorical-20002-both_sexes-1240.tsv.bgz	categorical-20002-both_sexes-1240.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1240.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1240.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1240.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1240.tsv.bgz.tbi	508196643	1750404	c668d7ab43cbebf0a7efaab4881a4497	52692bcf177b0376e793e0f9ab812d6f
categorical	20002	both_sexes	1242		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	eye/eyelid problem	UK Biobank Assessment Centre > Verbal interview > Medical conditions	3760	2160	1600	EUR	1	NA	NA	NA	NA	3318	NA	NA	NA	NA	NA	417155	NA	NA	NA	NA	NA	5.4333e-02	NA	NA	NA	NA	NA	9.8977e-01	NA	categorical-20002-both_sexes-1242.tsv.bgz	categorical-20002-both_sexes-1242.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1242.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1242.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1242.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1242.tsv.bgz.tbi	545081767	1752359	fddec7eb42c039af286b380ed15f1537	35a4ea075823c0a7753695e1e3c43528
categorical	20002	both_sexes	1243		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	psychological/psychiatric problem	UK Biobank Assessment Centre > Verbal interview > Medical conditions	465	257	208	EUR	1	NA	NA	NA	NA	398	NA	NA	NA	NA	NA	420075	NA	NA	NA	NA	NA	2.4214e-01	NA	NA	NA	NA	NA	9.7562e-01	NA	categorical-20002-both_sexes-1243.tsv.bgz	categorical-20002-both_sexes-1243.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1243.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1243.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1243.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1243.tsv.bgz.tbi	526782338	1751454	f4001329133367accbec829da6f8c678	8086143d0dee6a7b380dee50949c6174
categorical	20002	both_sexes	1246		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	encephalitis	UK Biobank Assessment Centre > Verbal interview > Medical conditions	299	166	133	EUR	1	NA	NA	NA	NA	272	NA	NA	NA	NA	NA	420201	NA	NA	NA	NA	NA	0.0000e+00	NA	NA	NA	NA	NA	9.9152e-01	NA	categorical-20002-both_sexes-1246.tsv.bgz	categorical-20002-both_sexes-1246.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1246.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1246.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1246.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1246.tsv.bgz.tbi	522742931	1751284	a1f4681157f413ccb0c9e81686614b21	df4b2f343a2dd0d86fed9cc55547fa54
categorical	20002	both_sexes	1247		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	meningitis	UK Biobank Assessment Centre > Verbal interview > Medical conditions	1926	974	952	EUR	1	NA	NA	NA	NA	1761	NA	NA	NA	NA	NA	418712	NA	NA	NA	NA	NA	1.4451e-02	NA	NA	NA	NA	NA	9.9311e-01	NA	categorical-20002-both_sexes-1247.tsv.bgz	categorical-20002-both_sexes-1247.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1247.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1247.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1247.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1247.tsv.bgz.tbi	541740536	1752032	e8a31401d6d7c1ae6524cd445411aac0	5285fa3990657d549d73713e7d881a3b
categorical	20002	both_sexes	1249		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	cranial nerve problem/palsy	UK Biobank Assessment Centre > Verbal interview > Medical conditions	268	183	0	EUR	1	NA	NA	NA	NA	249	NA	NA	NA	NA	NA	420224	NA	NA	NA	NA	NA	0.0000e+00	NA	NA	NA	NA	NA	1.0041e+00	NA	categorical-20002-both_sexes-1249.tsv.bgz	categorical-20002-both_sexes-1249.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1249.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1249.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1249.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1249.tsv.bgz.tbi	520259104	1750719	6a12e3a8ef5c1beda1b4f334023258db	45c34cca402cd2a6e5ff4f92f7d4396b
categorical	20002	both_sexes	1250		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	bell's palsy/facial nerve palsy	UK Biobank Assessment Centre > Verbal interview > Medical conditions	479	283	196	EUR	1	NA	NA	NA	NA	405	NA	NA	NA	NA	NA	420068	NA	NA	NA	NA	NA	0.0000e+00	NA	NA	NA	NA	NA	9.7575e-01	NA	categorical-20002-both_sexes-1250.tsv.bgz	categorical-20002-both_sexes-1250.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1250.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1250.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1250.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1250.tsv.bgz.tbi	527775639	1751498	c96ead7d6d0024bf2f9e7e8e4852c02f	13beb5ff7ee91c6074297f2ab3b4a68c
categorical	20002	both_sexes	1251		Non-cancer illness code, self-reported	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	spinal cord disorder	UK Biobank Assessment Centre > Verbal interview > Medical conditions	467	261	206	EUR	1	NA	NA	NA	NA	415	NA	NA	NA	NA	NA	420058	NA	NA	NA	NA	NA	2.0933e-01	NA	NA	NA	NA	NA	1.0140e+00	NA	categorical-20002-both_sexes-1251.tsv.bgz	categorical-20002-both_sexes-1251.tsv.bgz.tbi	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1251.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1251.tsv.bgz.tbi	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1251.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1251.tsv.bgz.tbi	528351161	1751329	b61a0044ef6e5477cb8cf64006a55fa5	65d82d02ad6df32fd19d943b33cc2327
